diaId visitId objectId ra dec mjd mag snr
127 1633412 61 307.397837819 -34.6185497702 52391.303671 20.9928 6.70708
133 1633444 61 307.406935282 -34.6175777625 52391.318418 20.9989 7.00988
162 1633497 61 307.426600356 -34.6154552682 52391.350351 21.009 7.50026
164 1633500 61 307.430770879 -34.6150011212 52391.357132 21.0119 7.63227
1152 1635323 61 308.693928881 -34.4685084944 52393.37796 20.925 19.9413
1184 1635370 61 308.707249338 -34.4669247376 52393.399552 20.9276 20.9786
1661 1635919 61 309.276875712 -34.3973050308 52394.305963 20.8971 6.98168
1667 1635947 61 309.286350687 -34.3961768322 52394.321215 20.9028 7.30037
2024 1636375 61 309.90826311 -34.3178813664 52395.309673 20.9455 22.9896
2032 1636398 61 309.914696175 -34.3170882435 52395.320005 20.9515 24.013
2065 1636454 61 309.930430218 -34.3151343358 52395.345309 20.964 26.2278
2078 1636482 61 309.938304617 -34.3141485683 52395.357989 20.9691 27.1783
3602 1637131 1238 259.356400983 -12.2449360509 52396.269814 21.8999 32.1602
3714 1637182 1238 259.364981469 -12.2599239513 52396.295222 21.9014 32.6267
5744 1637909 1833 246.138275509 -3.0545262595 52397.24823 22.0743 46.4836
5808 1637931 1833 246.139071915 -3.05682623872 52397.258647 22.0742 46.4841
5977 1637978 1833 246.1407866 -3.0617950403 52397.281163 22.0735 45.9562
7376 1638730 1833 246.249517898 -3.27396173059 52398.227316 21.8802 51.8444
7430 1638753 1238 260.119774439 -13.452254731 52398.237708 21.7937 53.4517
7440 1638758 1238 260.120533768 -13.4537040229 52398.239957 21.7957 53.0561
7442 1638759 1238 260.120685284 -13.4539933404 52398.240406 21.7903 52.0173
7464 1638771 1833 246.250751433 -3.27823647972 52398.246052 21.8805 51.6459
7517 1638789 1238 260.12542179 -13.4630570203 52398.254479 21.7991 53.804
7527 1638793 1238 260.126029717 -13.4642227582 52398.25629 21.8013 53.4425
7549 1638804 1238 260.127797977 -13.4676161389 52398.261563 21.798 52.6401
9263 1639617 1238 260.49487512 -14.083804954 52399.205184 21.8599 82.5746
9277 1639621 1238 260.495488774 -14.0850168002 52399.206983 21.8539 80.5332
9365 1639646 1238 260.499310104 -14.0925874859 52399.218226 21.8618 80.918
9379 1639650 1238 260.49992251 -14.0938044619 52399.220034 21.8695 82.911
11000 1640291 1833 246.438279888 -3.72433888657 52400.147439 21.8296 48.0547
11005 1640292 1833 246.438304126 -3.72444762266 52400.147886 21.83 48.3619
11123 1640336 1833 246.439465175 -3.72985046879 52400.170103 21.8333 52.412
11128 1640337 1833 246.439487912 -3.72996011009 52400.170554 21.8338 52.8396
11690 1640608 61 313.068139956 -33.8803380493 52400.295085 20.778 102.687
11729 1640636 61 313.076381691 -33.8791476721 52400.308156 20.7875 105.919
13058 1641282 1238 261.261399134 -15.4643401591 52401.192075 21.5768 69.6645
13168 1641323 1238 261.268408806 -15.4795108761 52401.212787 21.5866 74.068
13257 1641356 1238 261.273410927 -15.4904323588 52401.227715 21.5919 76.6262
13370 1641399 1833 246.523119347 -3.9948938838 52401.249495 21.9791 54.0977
13480 1641435 1833 246.523693484 -3.99930527826 52401.267188 21.9786 52.3196
14818 1642155 1238 262.041440347 -16.9958631306 52403.220833 21.383 64.9114
15329 1642354 61 315.000295181 -33.5786548598 52403.314215 20.6049 106.846
17960 1643250 61 315.633028507 -33.473892966 52404.29792 21.525 139.762
18088 1643291 61 315.645392565 -33.4718700891 52404.317366 21.5391 149.276
19807 1643865 1833 246.743415767 -5.02238374393 52405.159972 21.9395 76.2853
20016 1643908 1833 246.743398513 -5.02836945406 52405.181529 21.9425 80.7676
20078 1643928 1238 262.803006085 -18.6064492242 52405.190697 21.6064 105.072
20222 1643975 1238 262.810406799 -18.6255188994 52405.212867 21.6232 109.753
20646 1644136 61 316.270431291 -33.3653437067 52405.286646 20.7914 164.28
20741 1644170 61 316.280731969 -33.3636149063 52405.302793 20.8026 173.296
22356 1644670 1833 246.776166139 -5.2949861413 52406.137025 21.8875 45.8996
22450 1644697 1833 246.776088768 -5.29875235072 52406.150262 21.8886 48.6851
