diaId visitId objectId ra dec mjd mag snr
379 1634081 169 190.780087534 -0.469104223182 52392.199088 21.2609 9.90373
397 1634120 169 190.772932914 -0.465446390191 52392.217924 21.2568 9.19609
456 1634291 193 261.551088217 -54.2596537114 52392.304909 20.1785 37.6254
463 1634320 193 261.578736659 -54.2748507511 52392.31986 20.1784 37.9036
467 1634338 198 293.212797616 -46.3910565781 52392.328064 21.6797 8.87877
503 1634379 198 293.235480399 -46.3888634357 52392.346667 21.686 9.2557
1097 1635202 193 263.572778821 -55.287330387 52393.321944 20.068 37.053
2550 1636796 854 222.871768636 -22.2491269769 52396.079712 23.534 15.315
2654 1636819 854 222.867366196 -22.2474052783 52396.091407 23.5394 14.4787
3039 1636930 1051 202.204096774 -52.1132979383 52396.150703 23.0564 25.2576
3140 1636962 1051 202.192219622 -52.1239892909 52396.167261 23.0506 24.6385
3600 1637130 1236 255.208550556 -18.9545754203 52396.269312 22.8518 12.1929
3612 1637134 1236 255.208740178 -18.9536546573 52396.27116 22.853 12.7634
3706 1637178 1236 255.211009275 -18.9425629082 52396.29336 22.8533 12.8049
3707 1637179 1236 255.211058633 -18.942320456 52396.293844 22.852 12.5881
3851 1637237 1304 240.256811216 -22.3245253759 52396.321307 21.5653 49.6477
3854 1637238 1304 240.256562253 -22.3244506638 52396.321754 21.5683 49.1529
3948 1637270 1304 240.248478937 -22.3220165206 52396.336282 21.5573 48.2426
3961 1637274 1304 240.247484732 -22.3217159969 52396.338071 21.5564 47.8748
3964 1637275 1304 240.247236362 -22.3216408818 52396.338518 21.56 47.7559
4006 1637289 1304 240.243736083 -22.3205806059 52396.344821 21.5563 47.1468
4857 1637637 1304 239.840061674 -22.1944135986 52397.113296 21.6035 73.7382
4860 1637638 1304 239.839816611 -22.1943434022 52397.113742 21.6084 76.13
4992 1637675 1304 239.829825097 -22.1914801976 52397.131889 21.6199 72.489
4997 1637676 1304 239.829578504 -22.1914094906 52397.132336 21.6162 70.4201
5521 1637843 1767 232.908773727 -0.617590899893 52397.216217 23.6648 9.84625
5525 1637844 1767 232.908557637 -0.617626148466 52397.216666 23.6614 9.52705
5655 1637881 1767 232.900393378 -0.61895815738 52397.233629 23.6649 9.69672
5657 1637882 1767 232.900177759 -0.618993345135 52397.234077 23.6618 9.41256
6033 1638013 193 273.013561816 -59.1335206834 52397.29948 20.2528 116.413
6089 1638046 193 273.061907125 -59.1503771737 52397.317861 20.2562 117.011
6231 1638154 193 273.190553884 -59.1946944811 52397.36669 20.2522 117.033
6289 1638188 193 273.232136497 -59.2088358969 52397.382429 20.2469 116.505
6425 1638307 1931 107.05471328 -60.2948163897 52398.011662 22.7031 22.3927
6462 1638342 1931 107.088863643 -60.2928964235 52398.029128 22.6925 21.4516
6916 1638602 169 188.685111032 0.628099863893 52398.164919 21.379 80.6367
7019 1638641 169 188.678582166 0.63139262774 52398.184007 21.3729 73.5224
7421 1638751 2125 261.573382773 -9.15382197132 52398.236811 19.0427 376.965
7507 1638787 2125 261.559094746 -9.14301797472 52398.253581 19.0583 378.055
7522 1638791 1236 255.478550488 -17.8751099914 52398.255376 22.6702 24.0938
9297 1639626 1236 255.602880516 -17.2878593803 52399.209222 22.7062 41.009
9335 1639636 2125 260.826831845 -8.51518683359 52399.213717 19.085 512.91
9437 1639667 1236 255.604559948 -17.2755489218 52399.228548 22.7146 41.619
9460 1639673 2125 260.811410135 -8.50376336425 52399.231322 19.1067 521.753
9622 1639723 198 301.88303112 -45.1193978858 52399.254437 21.7774 62.2196
9725 1639755 198 301.903253057 -45.1156099337 52399.270901 21.7957 64.0975
10033 1639871 198 301.969802591 -45.1029117312 52399.325338 21.8396 69.505
10087 1639897 198 301.98405122 -45.1001433061 52399.337036 21.846 70.4179
10545 1640144 1051 199.447736369 -54.8870780413 52400.072905 22.6776 26.1656
10588 1640178 1051 199.430475214 -54.9011117858 52400.090579 22.6797 26.5979
10732 1640223 1767 231.572222104 -0.85915143191 52400.113953 23.5136 8.54315
10873 1640260 1767 231.563149278 -0.860853093259 52400.133215 23.5256 9.21271
11298 1640417 193 281.731852452 -61.571544987 52400.207466 20.358 156.67
11349 1640447 193 281.776253239 -61.5823932691 52400.221246 20.3733 154.342
11561 1640545 193 281.921061341 -61.6175245469 52400.266288 20.4105 165.428
11664 1640594 198 303.171199741 -44.8578158793 52400.288781 21.6395 57.126
11787 1640661 198 303.208828439 -44.8500367897 52400.319678 21.6662 59.2607
12316 1640980 1931 111.938422718 -60.0834066344 52401.027375 22.8862 16.8857
12321 1640985 1931 111.94138164 -60.0831198091 52401.029836 22.8872 16.9575
12364 1641009 1931 111.957467942 -60.0815450977 52401.043174 22.885 15.9487
13217 1641341 2125 259.201573962 -7.1880666953 52401.22095 18.7652 505.26
13297 1641371 2125 259.186879122 -7.17773100312 52401.23661 18.7761 514.485
