diaId visitId objectId ra dec mjd mag snr
634 1634558 262 114.06293814 -2.02926600651 52392.978544 20.4502 19.5084
642 1634588 262 114.072193287 -2.02769237587 52392.993891 20.4458 36.5908
1120 1635258 393 314.11627433 -38.411671964 52393.348625 21.5395 9.11939
1134 1635285 393 314.119623957 -38.4115917584 52393.360768 21.5399 9.6083
1168 1635345 393 314.127081057 -38.4114008407 52393.387882 21.5405 10.5747
2031 1636397 393 314.662733622 -38.3955515151 52395.319559 21.5209 13.1436
2064 1636453 393 314.669420843 -38.3954721162 52395.344861 21.5231 14.682
2077 1636480 393 314.672637757 -38.3954292281 52395.357075 21.524 15.3378
2230 1636675 262 115.914936115 -1.73533487839 52396.004173 21.4598 148.393
2277 1636700 262 115.924107629 -1.73393187727 52396.019402 21.4463 140.711
3602 1637131 1238 259.356400983 -12.2449360509 52396.269814 21.8999 32.1602
3714 1637182 1238 259.364981469 -12.2599239513 52396.295222 21.9014 32.6267
3900 1637254 1347 245.242023695 -24.7449440696 52396.328919 22.5762 17.4694
3904 1637255 1347 245.241916001 -24.744730434 52396.329368 22.5733 17.7047
3999 1637287 1347 245.238432768 -24.7377902402 52396.343927 22.57 17.0269
4002 1637288 1347 245.238326118 -24.7375767639 52396.344374 22.5664 17.1883
4034 1637298 1365 240.470209314 -8.00272592845 52396.350314 20.135 143.433
4086 1637328 1365 240.467413072 -8.00134752397 52396.364338 20.132 137.204
4274 1637491 1463 178.116440655 -8.28848670318 52397.0402 23.0916 26.67
4422 1637531 1463 178.11426764 -8.29126781635 52397.063998 23.0936 27.2851
5064 1637697 1347 245.076891995 -24.3521992434 52397.141879 22.5631 27.4527
5071 1637698 1347 245.07677969 -24.351982159 52397.142327 22.567 28.3773
5158 1637730 1347 245.073115106 -24.34492913 52397.156859 22.5711 28.6101
5263 1637767 1347 245.068700594 -24.3365012973 52397.174162 22.5792 29.2412
5269 1637768 1347 245.068583303 -24.3362782477 52397.174619 22.5821 29.9039
5388 1637807 1347 245.063460173 -24.3265713582 52397.194459 22.5868 29.6825
5397 1637808 1347 245.063339157 -24.3263428015 52397.194925 22.5891 30.2221
5530 1637846 1774 239.130759794 -1.62975589101 52397.217574 22.7682 24.4192
5540 1637849 1774 239.130242744 -1.62981495224 52397.218922 22.7698 24.5858
5551 1637853 1365 240.298958511 -7.91754151565 52397.220734 20.3038 201.081
5660 1637884 1774 239.124078755 -1.63051897868 52397.234987 22.7689 24.3643
5662 1637885 1774 239.123907585 -1.63053852807 52397.235433 22.7706 24.5833
5686 1637892 1365 240.295349122 -7.91579711421 52397.238584 20.3039 200.864
5744 1637909 1833 246.138275509 -3.0545262595 52397.24823 22.0743 46.4836
5808 1637931 1833 246.139071915 -3.05682623872 52397.258647 22.0742 46.4841
5977 1637978 1833 246.1407866 -3.0617950403 52397.281163 22.0735 45.9562
6885 1638593 1463 178.038335955 -8.41750753427 52398.160434 22.9737 18.6263
6988 1638632 1463 178.036899087 -8.41970539265 52398.179947 22.9736 15.7332
7196 1638684 1774 238.75854348 -1.67428334518 52398.204393 22.6102 26.4877
7364 1638727 1774 238.750165129 -1.67528630722 52398.225933 22.6147 26.4407
7376 1638730 1833 246.249517898 -3.27396173059 52398.227316 21.8802 51.8444
7430 1638753 1238 260.119774439 -13.452254731 52398.237708 21.7937 53.4517
7440 1638758 1238 260.120533768 -13.4537040229 52398.239957 21.7957 53.0561
7442 1638759 1238 260.120685284 -13.4539933404 52398.240406 21.7903 52.0173
7446 1638760 2134 263.39148893 -11.7515414253 52398.240854 23.2137 11.9574
7464 1638771 1833 246.250751433 -3.27823647972 52398.246052 21.8805 51.6459
7517 1638789 1238 260.12542179 -13.4630570203 52398.254479 21.7991 53.804
7527 1638793 1238 260.126029717 -13.4642227582 52398.25629 21.8013 53.4425
7547 1638803 2134 263.395588713 -11.7540439289 52398.261114 23.214 12.2714
7549 1638804 1238 260.127797977 -13.4676161389 52398.261563 21.798 52.6401
8168 1639176 262 117.732812201 -1.47652152857 52398.982449 20.8107 181.644
8210 1639185 262 117.735500227 -1.47615403049 52398.98693 20.8102 181.218
8281 1639206 262 117.741994287 -1.47526672326 52398.997751 20.8015 175.718
9263 1639617 1238 260.49487512 -14.083804954 52399.205184 21.8599 82.5746
9273 1639620 2134 263.605103736 -11.8727611507 52399.206535 23.3308 18.9703
9277 1639621 1238 260.495488774 -14.0850168002 52399.206983 21.8539 80.5332
9316 1639632 2134 263.606194283 -11.8734725941 52399.211927 23.3311 19.0539
9365 1639646 1238 260.499310104 -14.0925874859 52399.218226 21.8618 80.918
9371 1639647 2134 263.607555388 -11.8743621173 52399.218673 23.3315 19.3452
9379 1639650 1238 260.49992251 -14.0938044619 52399.220034 21.8695 82.911
9426 1639664 2134 263.609269307 -11.8754844744 52399.227192 23.3318 19.9171
9571 1639710 2583 291.365576722 -28.2229702917 52399.248631 22.8303 24.52
11000 1640291 1833 246.438279888 -3.72433888657 52400.147439 21.8296 48.0547
11005 1640292 1833 246.438304126 -3.72444762266 52400.147886 21.83 48.3619
11123 1640336 1833 246.439465175 -3.72985046879 52400.170103 21.8333 52.412
11128 1640337 1833 246.439487912 -3.72996011009 52400.170554 21.8338 52.8396
11693 1640609 393 315.930647433 -38.3829484562 52400.295531 21.3718 60.3183
11725 1640635 393 315.933472994 -38.3830185018 52400.30771 21.3729 62.8969
11757 1640646 2583 291.615993151 -28.2100658601 52400.312647 22.5988 27.1477
11842 1640689 2583 291.620474043 -28.2098604158 52400.332947 22.599 27.7965
12797 1641182 1365 239.505849623 -7.53642863329 52401.138704 20.2286 189.054
12822 1641193 1463 177.912433464 -8.74875569202 52401.144732 23.3568 12.2102
12894 1641220 1365 239.501048066 -7.53422316495 52401.161594 20.2297 200.692
12919 1641230 1463 177.911609966 -8.75113984528 52401.166994 23.3579 11.0276
13045 1641278 2134 264.036148059 -12.1458348136 52401.190285 23.166 13.3537
13058 1641282 1238 261.261399134 -15.4643401591 52401.192075 21.5768 69.6645
13155 1641319 2134 264.040233196 -12.1489254308 52401.210996 23.166 14.8786
13168 1641323 1238 261.268408806 -15.4795108761 52401.212787 21.5866 74.068
13255 1641355 2134 264.043415659 -12.1513476155 52401.227257 23.1657 15.8255
13257 1641356 1238 261.273410927 -15.4904323588 52401.227715 21.5919 76.6262
13267 1641359 2134 264.043769476 -12.1516175629 52401.229071 23.1657 16.0074
13334 1641385 2134 264.046468487 -12.1536803707 52401.242945 23.1653 16.6154
13341 1641387 2134 264.04664569 -12.1538160005 52401.243858 23.1654 16.7776
13370 1641399 1833 246.523119347 -3.9948938838 52401.249495 21.9791 54.0977
13447 1641426 2583 291.835011089 -28.1984821495 52401.262374 22.7316 22.3082
13480 1641435 1833 246.523693484 -3.99930527826 52401.267188 21.9786 52.3196
13558 1641463 2583 291.839041248 -28.1983269643 52401.280944 22.7316 24.6306
13660 1641516 262 119.559465712 -1.2458210851 52401.982697 20.538 101.743
14818 1642155 1238 262.041440347 -16.9958631306 52403.220833 21.383 64.9114
14840 1642163 2583 292.2693557 -28.17563371 52403.224713 22.4533 17.2941
