diaId visitId objectId ra dec mjd mag snr
84 1633221 47 245.03924483 -26.5782257992 52391.179956 18.5127 89.2827
88 1633231 47 245.038621667 -26.5799813921 52391.184469 18.5136 89.8949
141 1633467 69 294.102586761 -27.7961359578 52391.33413 19.987 23.4346
143 1633471 69 294.102439245 -27.7952307513 52391.335926 19.9875 23.4929
152 1633485 69 294.101881199 -27.7918168816 52391.342697 19.9895 23.6996
471 1634345 201 302.202351668 -48.7660311243 52392.331201 22.1225 5.32701
500 1634376 201 302.216815521 -48.7715380645 52392.345323 22.1283 5.57034
3512 1637085 47 244.249111599 -28.5870415002 52396.244192 18.3761 490.835
3602 1637131 1238 259.356400983 -12.2449360509 52396.269814 21.8999 32.1602
3714 1637182 1238 259.364981469 -12.2599239513 52396.295222 21.9014 32.6267
4162 1637393 1408 313.916448892 -59.8171722034 52396.403203 23.3687 6.39829
4978 1637672 47 244.070945986 -28.9515430748 52397.13054 18.4194 607.839
5041 1637685 47 244.069560682 -28.9540602717 52397.136486 18.4219 606.001
5102 1637708 47 244.067138849 -28.9584331525 52397.146826 18.4259 618.835
5535 1637847 1779 239.93137411 2.39079164604 52397.218023 23.6123 9.54945
5672 1637887 1779 239.925051959 2.39169588515 52397.236329 23.6133 9.56014
5994 1637984 1864 270.750968228 -46.3835343908 52397.286245 22.8928 9.54477
6005 1637993 1864 270.750678053 -46.3837486013 52397.290278 22.8925 9.50066
6017 1638005 1864 270.750287512 -46.3840348572 52397.295691 22.8924 9.66861
6025 1638009 1864 270.750143426 -46.3841398892 52397.297684 22.8923 9.98099
6046 1638026 1864 270.749589731 -46.384540692 52397.305324 22.8919 9.64802
6077 1638039 1864 270.748925891 -46.3850155684 52397.314449 22.8915 10.0638
6096 1638053 1408 315.366585998 -58.5417255882 52397.32101 23.0387 6.09555
6102 1638056 1408 315.368513872 -58.5398697199 52397.322351 23.0236 5.90704
6103 1638058 1897 321.724671175 -53.451447665 52397.323245 22.9096 6.45429
6104 1638060 1897 321.725623133 -53.4508301203 52397.324139 22.8965 6.36728
6133 1638083 1408 315.385959819 -58.5229673458 52397.334536 23.0537 6.24907
6134 1638084 1408 315.386597423 -58.5223459234 52397.334983 23.0398 6.0727
6141 1638088 1897 321.739079795 -53.442043572 52397.336828 22.9215 6.73381
6142 1638090 1897 321.740026207 -53.4414215663 52397.337724 22.9091 6.66702
6151 1638099 1897 321.744287472 -53.4386143146 52397.341764 22.9256 6.82984
6187 1638123 1897 321.755819259 -53.4309625426 52397.352743 22.9341 7.03221
6188 1638124 1897 321.756290447 -53.4306481815 52397.353193 22.9223 6.98167
6193 1638128 1408 315.414965225 -58.4944362646 52397.354984 23.0738 6.45136
6194 1638129 1408 315.415595772 -58.4938101194 52397.355431 23.0633 6.31072
6198 1638134 1897 321.760994076 -53.4275026878 52397.357691 22.9378 7.11822
6245 1638160 1864 270.744896269 -46.387785884 52397.369399 22.8888 9.68361
6258 1638167 1408 315.44006831 -58.4693175398 52397.372855 23.0889 6.5963
6260 1638169 1408 315.441324279 -58.4680506247 52397.373753 23.0817 6.49066
6261 1638171 1897 321.778634553 -53.4155860028 52397.374652 22.9385 7.36717
6262 1638172 1897 321.779100622 -53.415268594 52397.375102 22.9496 7.39415
6306 1638196 1864 270.743673485 -46.388595867 52397.386061 22.8879 9.52647
6362 1638234 1408 315.483836063 -58.4246222131 52397.404335 23.1101 6.77704
7363 1638726 1779 239.589769652 2.43906598721 52398.225476 23.4622 10.281
7430 1638753 1238 260.119774439 -13.452254731 52398.237708 21.7937 53.4517
7440 1638758 1238 260.120533768 -13.4537040229 52398.239957 21.7957 53.0561
7442 1638759 1238 260.120685284 -13.4539933404 52398.240406 21.7903 52.0173
7476 1638774 1779 239.582148765 2.44008526504 52398.247428 23.4629 10.0739
7517 1638789 1238 260.12542179 -13.4630570203 52398.254479 21.7991 53.804
7527 1638793 1238 260.126029717 -13.4642227582 52398.25629 21.8013 53.4425
7549 1638804 1238 260.127797977 -13.4676161389 52398.261563 21.798 52.6401
7634 1638839 2205 302.518380038 -51.7907080666 52398.277633 22.8829 11.9
7645 1638843 2205 302.520042634 -51.7913392422 52398.279426 22.8829 11.5458
7748 1638890 2205 302.540750315 -51.799197188 52398.30181 22.8966 12.174
7758 1638894 2205 302.54241644 -51.79982898 52398.303615 22.8972 12.5764
7781 1638912 201 309.098976379 -51.1427191399 52398.311972 22.0996 26.5467
7789 1638914 2205 302.550950415 -51.8030634437 52398.312869 22.9013 12.7962
7796 1638920 2205 302.553424994 -51.8040007622 52398.315555 22.9034 12.5246
7848 1638946 2205 302.564608618 -51.8082329873 52398.327708 22.907 13.1205
7854 1638948 201 309.120024884 -51.1496150535 52398.328603 22.1129 27.4328
7861 1638951 1408 316.924953947 -57.0128782036 52398.32995 23.288 7.77625
7874 1638962 2205 302.571230593 -51.8107354567 52398.334914 22.9111 12.9643
7961 1639013 201 309.157598219 -51.1618985439 52398.358311 22.1312 28.7767
7963 1639015 1408 316.965873784 -56.9679418033 52398.359216 23.309 7.84068
7967 1639020 1408 316.968969552 -56.9644938348 52398.361449 23.3047 8.00459
7971 1639022 1408 316.970214928 -56.9631048867 52398.362348 23.3221 8.10436
8009 1639039 1864 270.679204064 -46.4377359743 52398.370983 22.8464 17.3324
8024 1639054 1897 322.90649366 -52.6578526116 52398.378053 23.1046 9.78061
8031 1639059 201 309.185420959 -51.1709665019 52398.380319 22.1406 29.5565
8058 1639069 1408 317.003810188 -56.9252362486 52398.386741 23.3282 8.21993
8060 1639071 1897 322.916208445 -52.6507771818 52398.387644 23.1068 10.1223
8077 1639085 1864 270.677063301 -46.4388630753 52398.395241 22.845 16.7446
8134 1639106 1864 270.676216829 -46.4393025799 52398.404871 22.8443 16.4094
9063 1639556 2480 236.562912885 -62.0953601032 52399.175142 22.3519 54.2082
9069 1639559 1864 270.618231553 -46.476116139 52399.176644 23.007 23.7857
9080 1639563 1864 270.618057673 -46.4762156182 52399.178484 23.0072 25.1318
9104 1639571 1864 270.617709869 -46.4764137174 52399.182154 23.0069 23.9377
9194 1639596 2480 236.565372583 -62.0900442909 52399.195044 22.3544 56.7105
9205 1639600 1864 270.616290674 -46.4772100249 52399.196991 23.0065 26.0762
9210 1639602 1864 270.616203929 -46.4772580815 52399.197891 23.0067 27.5126
9225 1639608 1864 270.615926437 -46.4774113449 52399.200765 23.0065 26.4203
9263 1639617 1238 260.49487512 -14.083804954 52399.205184 21.8599 82.5746
9277 1639621 1238 260.495488774 -14.0850168002 52399.206983 21.8539 80.5332
9365 1639646 1238 260.499310104 -14.0925874859 52399.218226 21.8618 80.918
9379 1639650 1238 260.49992251 -14.0938044619 52399.220034 21.8695 82.911
