diaId visitId objectId ra dec mjd mag snr
2323 1636721 759 190.09541318 -33.2038581505 52396.032845 24.4429 12.3503
2428 1636755 759 190.08034972 -33.204589352 52396.054989 24.4526 11.7025
2511 1636786 759 190.066613941 -33.2052360549 52396.07517 23.8206 16.6667
2616 1636812 900 230.900440834 -23.958570249 52396.087335 23.1164 19.8071
3019 1636919 759 190.018789588 -33.2073345942 52396.145449 23.8226 12.9611
3109 1636950 759 190.007766335 -33.2077849551 52396.161672 23.819 12.3765
3840 1637234 900 230.882552499 -23.8335720865 52396.319941 22.9662 12.0085
3913 1637258 900 230.881767552 -23.8275920776 52396.330745 22.9594 11.6143
5278 1637771 900 230.865731748 -23.3680681949 52397.176044 23.0233 22.1448
5430 1637815 900 230.863791244 -23.3560308598 52397.198235 23.0283 21.866
5583 1637864 1816 243.964792493 -10.0958392253 52397.225691 23.9097 7.27704
5716 1637903 1816 243.95873787 -10.0904679582 52397.245524 23.91 7.31576
5764 1637915 1816 243.957081007 -10.088998023 52397.25094 23.9099 7.31327
5860 1637944 1816 243.952790022 -10.0851890523 52397.264951 23.909 7.27836
6830 1638568 759 188.717204894 -33.252511854 52398.148322 23.6548 9.64851
6901 1638599 2041 179.01564116 2.85991952548 52398.163579 22.9404 16.4893
6956 1638617 759 188.701347277 -33.2528459225 52398.172839 23.6475 10.1028
7437 1638757 2129 260.669678243 -17.8933662572 52398.239509 23.9391 5.87608
7452 1638765 2129 260.669522486 -17.8931179632 52398.243105 23.9389 5.66663
7454 1638765 2139 262.369974506 -19.8523113108 52398.243105 22.9485 16.7464
7528 1638794 2129 260.668927697 -17.8921740153 52398.256738 23.9386 5.95144
7531 1638796 2129 260.668888034 -17.8921112735 52398.257642 23.9385 5.75256
7533 1638796 2139 262.367721033 -19.8514862008 52398.257642 22.9486 16.9768
7640 1638841 2209 304.220699014 -52.3730163282 52398.278529 22.3613 19.4168
7755 1638893 2209 304.224181426 -52.3764879739 52398.303167 22.3626 20.9229
7786 1638913 2209 304.225477982 -52.3777877415 52398.312421 22.363 21.4435
9267 1639619 2129 260.634675781 -17.8245357764 52399.206079 24.0887 9.06513
